brand,series,type,power,cool_kw,cspf,cert_no
北鄉,,MVC-14HT,914,4.1,5.33,ACN-106-1805
北鄉,,NUX-10HA,560,2.8,5.94,ACN-106-2140
北鄉,RN,NVC-14RN,916,4.2,5.45,ACN-109-0693
北鄉,AF,NFC-08PD,457,2.3,5.98,ACN-106-3393
北鄉,,MVC-130HT4,3071,13,5.03,ACN-106-2792
北鄉,RN,NVC-18RN,1012,5,5.87,ACN-109-0694
北鄉,RN,NVC-22RN,1373,6.5,5.62,ACN-109-0766
北鄉,HD,NRV-85HDV,1976,8.5,5.11,ACN-107-1518
北鄉,AF,NFC-14PD,896,4.1,5.44,ACN-106-3399
北鄉,AF(MFC),MFC-22HT,1404,6.3,5.33,ACN-107-0876
北鄉,AF(MFC),MFC-25HT,1673,7.2,5.11,ACN-107-0877
北鄉,AF(MFC),MFC-08HT,457,2.3,5.98,ACN-107-0872
北鄉,,MVC-22HT,1448,6.5,5.33,ACN-106-2075
北鄉,AF(MFC),MFC-18HT,1114,5,5.33,ACN-107-0875
北鄉,,MVC-85HT3,1976,8.5,5.11,ACN-106-2791
北鄉,HD,NFC-12HPD,719,3.6,5.95,ACN-106-3396
北鄉,AF,NFC-22PD,1404,6.3,5.33,ACN-106-3403
北鄉,HD,HD-AH67,1492,6.7,5.34,ACN-108-1094
北鄉,,MVC-24HT,1673,7.2,5.11,ACN-106-2076
北鄉,RN,NVC-25RN,1574,7.3,5.51,ACN-109-0767
北鄉,HD,NVC-10HPD,561,2.8,5.93,ACN-105-1416
北鄉,,MVC-08HT,441,2.2,5.93,ACN-106-1802
北鄉,RN,NVC-30RN,1895,8.5,5.33,ACN-109-1009
北鄉,,MVC-12HT,722,3.6,5.93,ACN-106-1804
北鄉,HD,NVC-12HPD,721,3.6,5.94,ACN-105-1417
北鄉,HD,NVC-18HPD,1105,5,5.38,ACN-107-0878
北鄉,HD,NFC-25HPD,1673,7.2,5.11,ACN-106-3404
北鄉,,MVC-30HT,1978,8.5,5.11,ACN-106-1808
北鄉,HD,NVC-14HPD,902,4.1,5.4,ACN-105-1418
北鄉,,MVC-65HT2,1449,6.5,5.33,ACN-106-2788
北鄉,SG,NVC-140SG-H,3289,14,5.06,ACN-109-1125
北鄉,,MVC-25HT,1720,7.4,5.11,ACN-106-1807
北鄉,HD,NRV-72HDV,1720,7.4,5.11,ACN-107-1517
北鄉,AF,NFC-10PD-C,549,2.8,6.06,ACN-106-3395
北鄉,AF(MFC),MFC-10HT,561,2.8,5.93,ACN-108-0770
北鄉,AF,NFC-18PD,1114,5,5.33,ACN-106-3401
北鄉,AF,NFC-25PD,1673,7.2,5.11,ACN-106-3405
北鄉,HD,NFC-10HPD-C,549,2.8,6.06,ACN-106-3394
北鄉,SG,NVC-140SG,3289,14,5.06,ACN-109-1126
北鄉,HD,NFC-14HPD,896,4.1,5.44,ACN-106-3398
北鄉,HD,NRV-50HDV,1159,5.2,5.33,ACN-107-1519
北鄉,HD,NRV-105HDV,2483,10.5,5.03,ACN-107-1514
北鄉,HD,NRV-63HDV,1449,6.5,5.33,ACN-107-1516
北鄉,HD,HD-AH50,1112,5,5.34,ACN-108-1092
北鄉,HD,NFC-10HPD,561,2.8,5.93,ACN-107-0938
北鄉,RN,NVC-10RN,552,2.8,6.02,ACN-109-0691
北鄉,SG,NVC-101SG-H,2363,10.1,5.08,ACN-109-1128
北鄉,AF,NFC-12PD,719,3.6,5.95,ACN-106-3397
北鄉,HD,NFC-18HPD,1114,5,5.33,ACN-106-3400
北鄉,,MVC-100HT3,2483,10.5,5.03,ACN-106-2790
北鄉,HD,NRV-120HDV,3071,13,5.03,ACN-107-1515
北鄉,SG,NVC-112SG-H,2646,11.2,5.03,ACN-109-1123
北鄉,HD,HD-AH35,701,3.5,5.93,ACN-108-1093
北鄉,HD,NVC-25HPD,1670,7.2,5.12,ACN-107-0879
北鄉,HD,NFC-08HPD,457,2.3,5.98,ACN-106-3392
北鄉,HD,NVC-30HPD,1951,8.5,5.18,ACN-107-0880
北鄉,RN,NVC-12RN,752,3.8,6.01,ACN-109-0692
北鄉,SG,NVC-160SG-H,3728,16,5.1,ACN-109-1129
北鄉,SG,NVC-160SG,3728,16,5.1,ACN-109-1130
北鄉,AF(MFC),MFC-14HT,896,4.1,5.44,ACN-107-0874
北鄉,SG,NVC-101SG,2363,10.1,5.08,ACN-109-1127
北鄉,SG,NVC-112SG,2646,11.2,5.03,ACN-109-1124
北鄉,AF(MFC),MFC-12HT,719,3.6,5.95,ACN-107-0873
北鄉,,MVC-74HT2,1720,7.4,5.11,ACN-106-2789
北鄉,AF,NFC-10PD,561,2.8,5.93,ACN-107-0937
雅哥,SG,ACV-101SG-H,2363,10.1,5.08,ACN-109-1104
雅哥,,ACV-41PV,895,4.1,5.44,ACN-108-0295
雅哥,RN,ACV-42RN,916,4.2,5.45,ACN-109-0756
雅哥,RN,ACV-38RN,752,3.8,6.01,ACN-109-0755
雅哥,SG,ACV-140SG,3289,14,5.06,ACN-109-1102
雅哥,,ACV-50PV,1105,5,5.38,ACN-108-0417
雅哥,,ACV-125PV,3310,14,5.03,ACN-106-2343
雅哥,SG,ACV-160SG,3728,16,5.1,ACN-109-1106
雅哥,SG,ACV-101SG,2363,10.1,5.08,ACN-109-1103
雅哥,SG,ACV-140SG-H,3289,14,5.06,ACN-109-1101
雅哥,,ACV-28PV,546,2.8,6.09,ACN-108-0294
雅哥,SG,ACV-112SG-H,2646,11.2,5.03,ACN-109-1099
