項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
4575,新視代科技股份有限公司,RC-S28HF1,5.93,1,2.80,0.68,一對一分離式
4576,新視代科技股份有限公司,RC-S74HF2,5.11,1,7.40,1.95,一對一分離式
4577,新視代科技股份有限公司,RC-S36HT2,5.96,1,3.60,0.86,一對一分離式
4578,新視代科技股份有限公司,RC-S36HR3,6.12,1,3.60,0.87,一對一分離式
4579,新視代科技股份有限公司,RC-LA0HF1,5.03,1,10.50,3.28,多管型固定組合分離式
4580,新視代科技股份有限公司,RC-S63HT2,5.43,1,6.30,1.63,一對一分離式
4581,新視代科技股份有限公司,RC-S65HF1,5.33,1,6.50,1.71,一對一分離式
4582,新視代科技股份有限公司,RC-L85HF2,5.11,1,8.50,2.21,多管型固定組合分離式
4583,新視代科技股份有限公司,RC-D65HF1,5.33,1,6.50,1.79,多管型固定組合分離式
4584,新視代科技股份有限公司,RC-S50HT2,5.85,1,5.00,1.29,一對一分離式
4585,新視代科技股份有限公司,RC-S50HR3,5.55,1,5.00,1.32,一對一分離式
4586,新視代科技股份有限公司,RC-D52HF1,5.33,1,5.20,1.48,多管型固定組合分離式
4587,新視代科技股份有限公司,RC-L85HF1,5.11,1,8.50,2.21,多管型固定組合分離式
4588,新視代科技股份有限公司,RC-S22HF1,5.93,1,2.20,0.49,一對一分離式
4589,新視代科技股份有限公司,RC-SA4VW1,5.03,1,14.00,4.20,一對一分離式
4590,新視代科技股份有限公司,RC-D74HF1,5.11,1,7.40,2.12,多管型固定組合分離式
4591,新視代科技股份有限公司,RC-S42HT2,5.74,1,4.20,1.08,一對一分離式
4592,新視代科技股份有限公司,RC-S72HT2,5.18,1,7.20,2.00,一對一分離式
4593,新視代科技股份有限公司,RC-S42HR3,6.02,1,4.20,1.05,一對一分離式
4594,新視代科技股份有限公司,RC-S85HF2,5.11,1,8.50,2.37,一對一分離式
4595,新視代科技股份有限公司,RC-D52HF2,5.33,1,5.20,1.48,多管型固定組合分離式
4596,新視代科技股份有限公司,RC-S80HT2,5.15,1,8.00,2.43,一對一分離式
4597,新視代科技股份有限公司,RC-D56HT2,6.01,1,5.60,1.50,多管型固定組合分離式
4598,新視代科技股份有限公司,RC-S22HT2,6.20,1,2.20,0.48,一對一分離式
4599,新視代科技股份有限公司,RC-S65HF2,5.33,1,6.50,1.71,一對一分離式
4600,新視代科技股份有限公司,RC-S85HF1,5.11,1,8.50,2.37,一對一分離式
4601,新視代科技股份有限公司,RC-LA0HF2,5.03,1,10.50,3.28,多管型固定組合分離式
4602,新視代科技股份有限公司,RC-S50HT2-1,5.50,1,5.00,1.29,一對一分離式
4603,新視代科技股份有限公司,RC-S50HF2,5.33,1,5.00,1.37,一對一分離式
4604,新視代科技股份有限公司,RC-FA3HF1,5.03,1,13.00,4.43,多管型固定組合分離式
4605,新視代科技股份有限公司,RC-S41HF1,5.33,1,4.10,1.08,一對一分離式
4606,新視代科技股份有限公司,RC-S22HF2,5.93,1,2.20,0.49,一對一分離式
4607,新視代科技股份有限公司,RC-S28HF2,5.93,1,2.80,0.68,一對一分離式
4608,新視代科技股份有限公司,RC-D74HF2,5.11,1,7.40,2.12,多管型固定組合分離式
4609,新視代科技股份有限公司,RC-S50HF1,5.33,1,5.00,1.37,一對一分離式
4610,新視代科技股份有限公司,RC-S74HF1,5.11,1,7.40,1.95,一對一分離式
4611,新視代科技股份有限公司,RC-S28HT2,6.09,1,2.80,0.67,一對一分離式
4612,新視代科技股份有限公司,RC-S72HF1,5.11,1,7.20,1.89,一對一分離式
4613,盟昆企業有限公司,FU-36CSA,5.95,1,3.60,0.98,一對一分離式
4614,盟昆企業有限公司,FUV-50CS2(RC),5.34,1,5.00,1.40,一對一分離式
4615,盟昆企業有限公司,FU-110CSA,5.04,1,11.00,3.15,一對一分離式
4616,盟昆企業有限公司,冰點FUV-63CS2(FB),5.36,1,6.30,1.75,一對一分離式
4617,盟昆企業有限公司,冰點FU-80HSA,5.11,1,8.00,2.40,一對一分離式
4618,盟昆企業有限公司,FUC-W41SA,5.33,1,4.10,1.20,一對一分離式
4619,盟昆企業有限公司,FUH-W72SA,5.11,1,7.20,2.27,一對一分離式
4620,盟昆企業有限公司,冰點FUV-36CS2(CB),5.93,1,3.60,0.93,一對一分離式
4621,盟昆企業有限公司,FWV-41CS2R,4.18,1,4.10,1.25,單體式
4622,盟昆企業有限公司,FUH-W50SA,5.34,1,5.00,1.40,一對一分離式
4623,盟昆企業有限公司,冰點FU-101HSA,5.03,1,10.10,3.40,一對一分離式
4624,盟昆企業有限公司,FU-41CSA,5.33,1,4.10,1.20,一對一分離式
4625,盟昆企業有限公司,FUC-W61SA,5.33,1,6.10,1.78,一對一分離式
4626,盟昆企業有限公司,冰點FUV-50CS2(CB),5.38,1,5.00,1.40,一對一分離式
4627,盟昆企業有限公司,冰點FU-80CSA,5.11,1,8.00,2.40,一對一分離式
4628,盟昆企業有限公司,冰點FWV-29CS2R,4.44,1,2.90,0.84,單體式
4629,盟昆企業有限公司,FWV-50CS2L,4.16,1,5.00,1.56,單體式
4630,盟昆企業有限公司,FU-80CSA,5.11,1,8.00,2.40,一對一分離式
4631,盟昆企業有限公司,FU-61CSA,5.33,1,6.10,1.78,一對一分離式
4632,盟昆企業有限公司,冰點FU-36CSA,5.95,1,3.60,0.98,一對一分離式
4633,盟昆企業有限公司,FUV-63HS2(FB),5.36,1,6.30,1.75,一對一分離式
4634,盟昆企業有限公司,FU-72HSA,5.11,1,7.20,2.27,一對一分離式
4635,盟昆企業有限公司,FWV-50CS2,4.20,1,5.00,1.45,單體式
4636,盟昆企業有限公司,冰點FU-50HSA,5.34,1,5.00,1.40,一對一分離式
4637,盟昆企業有限公司,FUC-W36SA,5.95,1,3.60,0.98,一對一分離式
4638,盟昆企業有限公司,冰點FUV-140CS2(GB),5.04,1,14.00,4.00,一對一分離式
4639,盟昆企業有限公司,冰點FU-61HSA,5.33,1,6.10,1.78,一對一分離式
4640,盟昆企業有限公司,冰點FU-72CSA,5.11,1,7.20,2.27,一對一分離式
4641,盟昆企業有限公司,FUC-W72SA,5.11,1,7.20,2.27,一對一分離式
4642,盟昆企業有限公司,FUV-90CS2(FB),5.15,1,9.00,2.75,一對一分離式
4643,盟昆企業有限公司,FU-41HSA,5.33,1,4.10,1.20,一對一分離式
4644,盟昆企業有限公司,FUV-63CS2(FB),5.36,1,6.30,1.75,一對一分離式
4645,盟昆企業有限公司,FU-61HSA,5.33,1,6.10,1.78,一對一分離式
4646,盟昆企業有限公司,FU-72CSA,5.11,1,7.20,2.27,一對一分離式
4647,盟昆企業有限公司,FU-29HSA,5.93,1,2.90,0.78,一對一分離式
4648,盟昆企業有限公司,FU-36HSA,5.95,1,3.60,0.98,一對一分離式
4649,盟昆企業有限公司,FUH-W80SA,5.11,1,8.00,2.40,一對一分離式
4650,盟昆企業有限公司,冰點FUV-110CS2(GB),5.08,1,11.00,3.23,一對一分離式
4651,盟昆企業有限公司,冰點FU-101CSA,5.03,1,10.10,3.40,一對一分離式
4652,盟昆企業有限公司,冰點FU-29CSA,5.93,1,2.90,0.78,一對一分離式
4653,盟昆企業有限公司,冰點FU-36HSA,5.95,1,3.60,0.98,一對一分離式
4654,盟昆企業有限公司,FUH-W101SA,5.03,1,10.10,3.40,一對一分離式
4655,盟昆企業有限公司,冰點FUV-36HS2(CB),5.93,1,3.60,0.93,一對一分離式
4656,盟昆企業有限公司,FUV-73CS2(FB),5.15,1,7.30,2.25,一對一分離式
4657,盟昆企業有限公司,FUV-73HS2(FB),5.15,1,7.30,2.25,一對一分離式
4658,盟昆企業有限公司,冰點FUV-50HS2(CB),5.38,1,5.00,1.40,一對一分離式
4659,盟昆企業有限公司,FUH-W36SA,5.95,1,3.60,0.98,一對一分離式
4660,盟昆企業有限公司,FUC-W80SA,5.11,1,8.00,2.40,一對一分離式
4661,盟昆企業有限公司,FW-280CUBA,7.00,1,28.00,4.95,單體式
4662,盟昆企業有限公司,FW-351CUBA,6.85,1,35.10,7.30,單體式
4663,盟昆企業有限公司,冰點FU-50CSA,5.34,1,5.00,1.40,一對一分離式
4664,盟昆企業有限公司,冰點FU-110CSA,5.04,1,11.00,3.15,一對一分離式
4665,盟昆企業有限公司,冰點FU-41CSA,5.33,1,4.10,1.20,一對一分離式
4666,盟昆企業有限公司,冰點FW-351CUBA,6.85,1,35.10,7.30,單體式
4667,盟昆企業有限公司,冰點FWV-41CS2R,4.18,1,4.10,1.25,單體式
4668,盟昆企業有限公司,FU-50HSA,5.34,1,5.00,1.40,一對一分離式
4669,盟昆企業有限公司,FUV-50HS2(CB),5.38,1,5.00,1.40,一對一分離式
4670,盟昆企業有限公司,冰點FUV-63HS2(FB),5.36,1,6.30,1.75,一對一分離式
4671,盟昆企業有限公司,FUH-W29SA,5.93,1,2.90,0.78,一對一分離式
4672,盟昆企業有限公司,FUV-50CS2(CB),5.38,1,5.00,1.40,一對一分離式
4673,盟昆企業有限公司,FUV-110CS2(GB),5.08,1,11.00,3.23,一對一分離式
4674,盟昆企業有限公司,FU-101HSA,5.03,1,10.10,3.40,一對一分離式
4675,盟昆企業有限公司,FU-29CSA,5.93,1,2.90,0.78,一對一分離式
4676,盟昆企業有限公司,FUC-W101SA,5.03,1,10.10,3.40,一對一分離式
4677,盟昆企業有限公司,冰點FUV-22CS2(CB),5.93,1,2.20,0.56,一對一分離式
4678,盟昆企業有限公司,FUV-36HS2(CB),5.93,1,3.60,0.93,一對一分離式
4679,盟昆企業有限公司,FUC-W50SA,5.34,1,5.00,1.40,一對一分離式
4680,盟昆企業有限公司,冰點FU-29HSA,5.93,1,2.90,0.78,一對一分離式
4681,盟昆企業有限公司,FUV-22CS2(CB),5.93,1,2.20,0.56,一對一分離式
4682,盟昆企業有限公司,FU-101CSA,5.03,1,10.10,3.40,一對一分離式
4683,盟昆企業有限公司,冰點FW-280CUBA,7.00,1,28.00,4.95,單體式
4684,盟昆企業有限公司,冰點FU-72HSA,5.11,1,7.20,2.27,一對一分離式
4685,盟昆企業有限公司,冰點FWV-50CS2,4.20,1,5.00,1.45,單體式
4686,盟昆企業有限公司,FU-50CSA,5.34,1,5.00,1.40,一對一分離式
4687,盟昆企業有限公司,冰點FUV-73CS2(FB),5.15,1,7.30,2.25,一對一分離式
4688,盟昆企業有限公司,冰點FUV-73HS2(FB),5.15,1,7.30,2.25,一對一分離式
4689,盟昆企業有限公司,FUH-W41SA,5.33,1,4.10,1.20,一對一分離式
4690,盟昆企業有限公司,冰點FWV-50CS2L,4.16,1,5.00,1.56,單體式
4691,盟昆企業有限公司,冰點FU-61CSA,5.33,1,6.10,1.78,一對一分離式
4692,盟昆企業有限公司,FU-80HSA,5.11,1,8.00,2.40,一對一分離式
4693,盟昆企業有限公司,FUV-140CS2(GB),5.04,1,14.00,4.00,一對一分離式
4694,盟昆企業有限公司,FUV-50HS2(RC),5.34,1,5.00,1.40,一對一分離式
4695,盟昆企業有限公司,冰點FU-41HSA,5.33,1,4.10,1.20,一對一分離式
4696,盟昆企業有限公司,FUV-36CS2(CB),5.93,1,3.60,0.93,一對一分離式
4697,盟昆企業有限公司,FUC-W29SA,5.93,1,2.90,0.78,一對一分離式
4698,盟昆企業有限公司,FUH-W61SA,5.33,1,6.10,1.78,一對一分離式
4699,盟昆企業有限公司,FWV-29CS2R,4.44,1,2.90,0.84,單體式
4700,盟昆企業有限公司,冰點FUV-90CS2(FB),5.15,1,9.00,2.75,一對一分離式
4701,萬士益冷氣股份有限公司,MAS-23HV32,5.94,1,2.30,0.54,一對一分離式
4702,萬士益冷氣股份有限公司,MUA-28MVH,5.94,1,2.80,0.64,一對一分離式
4703,萬士益冷氣股份有限公司,MUA-41MVH,5.34,1,4.20,0.98,一對一分離式
4704,萬士益冷氣股份有限公司,MAS-5032MV,5.70,1,5.30,1.28,一對一分離式
4705,萬士益冷氣股份有限公司,MFS-5032MV,5.70,1,5.30,1.28,一對一分離式
4706,萬士益冷氣股份有限公司,MHL-36MV,5.94,1,3.60,0.82,一對一分離式
4707,萬士益冷氣股份有限公司,MA2-2828VH,5.34,1,5.60,1.45,多管型固定組合分離式
4708,萬士益冷氣股份有限公司,FS2-4141V,5.12,1,8.20,2.30,多管型固定組合分離式
4709,萬士益冷氣股份有限公司,MFS-4132MV,5.34,1,4.20,1.15,一對一分離式
4710,萬士益冷氣股份有限公司,MAS-90HV32,5.12,1,9.00,2.61,一對一分離式
4711,萬士益冷氣股份有限公司,MKA-36HV32,5.94,1,3.60,0.87,一對一分離式
4712,萬士益冷氣股份有限公司,MKA-72VH,5.12,1,7.20,2.00,一對一分離式
4713,萬士益冷氣股份有限公司,MFS-28V,5.94,1,2.80,0.65,一對一分離式
4714,萬士益冷氣股份有限公司,FS2-7272V,5.04,1,14.40,3.90,多管型固定組合分離式
4715,萬士益冷氣股份有限公司,MRV-105HMD,5.03,1,10.50,3.28,多管型系列組合分離式
4716,萬士益冷氣股份有限公司,MH-50FV,4.20,1,5.00,1.45,單體式
4717,萬士益冷氣股份有限公司,MHL-80HV32,5.12,1,8.00,2.08,一對一分離式
4718,萬士益冷氣股份有限公司,MAS-2832MV,5.94,1,2.80,0.64,一對一分離式
4719,萬士益冷氣股份有限公司,MUA-72HV32,5.20,1,7.50,2.20,一對一分離式
4720,萬士益冷氣股份有限公司,MFS-140V,5.04,1,14.00,4.40,一對一分離式
4721,萬士益冷氣股份有限公司,MAS-72MVH,5.12,1,7.30,2.05,一對一分離式
4722,萬士益冷氣股份有限公司,MAS-90V,5.12,1,9.00,2.44,一對一分離式
4723,萬士益冷氣股份有限公司,MHL-85VH,5.12,1,8.50,2.34,一對一分離式
4724,萬士益冷氣股份有限公司,MAS-85V,5.12,1,8.50,2.34,一對一分離式
4725,萬士益冷氣股份有限公司,HL2-2872VH,5.04,1,10.10,2.75,多管型固定組合分離式
4726,萬士益冷氣股份有限公司,HL2-2841VH,5.34,1,6.90,1.90,多管型固定組合分離式
4727,萬士益冷氣股份有限公司,MA2-4141V,5.12,1,8.20,2.30,多管型固定組合分離式
4728,萬士益冷氣股份有限公司,MAS-41HV32,5.34,1,4.20,1.00,一對一分離式
4729,萬士益冷氣股份有限公司,MKA-140V,5.04,1,14.00,4.40,一對一分離式
4730,萬士益冷氣股份有限公司,MKA-8532MV,5.12,1,8.50,2.33,一對一分離式
4731,萬士益冷氣股份有限公司,MUA-90VH,5.12,1,9.00,2.44,一對一分離式
4732,萬士益冷氣股份有限公司,MKA-50MV,5.34,1,5.00,1.27,一對一分離式
4733,萬士益冷氣股份有限公司,MA2-2841V,5.34,1,6.90,1.90,多管型固定組合分離式
4734,萬士益冷氣股份有限公司,FS2-5050VH,5.04,1,10.10,2.75,多管型固定組合分離式
4735,萬士益冷氣股份有限公司,FS2-5050V,5.04,1,10.10,2.75,多管型固定組合分離式
4736,萬士益冷氣股份有限公司,MA2-7272VH,5.04,1,14.40,3.90,多管型固定組合分離式
4737,萬士益冷氣股份有限公司,MA2-2836VH,5.34,1,6.40,1.86,多管型固定組合分離式
4738,萬士益冷氣股份有限公司,FS2-2836VH,5.34,1,6.40,1.86,多管型固定組合分離式
4739,萬士益冷氣股份有限公司,MKA-85MV,5.12,1,8.50,2.20,一對一分離式
4740,萬士益冷氣股份有限公司,MHL-112V,5.04,1,11.20,3.25,一對一分離式
4741,萬士益冷氣股份有限公司,MHL-36HV32,5.94,1,3.60,0.87,一對一分離式
4742,萬士益冷氣股份有限公司,MHL-2332MV,5.94,1,2.30,0.50,一對一分離式
4743,萬士益冷氣股份有限公司,MFS-3632MV,5.94,1,3.60,0.79,一對一分離式
4744,萬士益冷氣股份有限公司,MFS-7232MV,5.20,1,7.50,2.20,一對一分離式
4745,萬士益冷氣股份有限公司,MHL-9032MV,5.12,1,9.00,2.45,一對一分離式
4746,萬士益冷氣股份有限公司,MFS-50HV32,5.70,1,5.30,1.28,一對一分離式
4747,萬士益冷氣股份有限公司,MFS-41HV32,5.34,1,4.20,1.00,一對一分離式
4748,萬士益冷氣股份有限公司,MAS-36VH,5.94,1,3.60,0.85,一對一分離式
4749,萬士益冷氣股份有限公司,MKA-72MVH,5.12,1,7.30,2.05,一對一分離式
4750,萬士益冷氣股份有限公司,MFS-28MV,5.94,1,2.80,0.65,一對一分離式
4751,萬士益冷氣股份有限公司,MUA-72MV,5.12,1,7.20,1.87,一對一分離式
4752,萬士益冷氣股份有限公司,MHL-72MV,5.12,1,7.20,1.87,一對一分離式
4753,萬士益冷氣股份有限公司,MHL-90MV,5.12,1,9.00,2.25,一對一分離式
4754,萬士益冷氣股份有限公司,MRV-074HMD,5.11,1,7.40,2.12,多管型系列組合分離式
4755,萬士益冷氣股份有限公司,FS2-2841VH,5.34,1,6.90,1.90,多管型固定組合分離式
4756,萬士益冷氣股份有限公司,UA2-4141V,5.12,1,8.20,2.30,多管型固定組合分離式
4757,萬士益冷氣股份有限公司,MA2-2841VH,5.34,1,6.90,1.90,多管型固定組合分離式
4758,萬士益冷氣股份有限公司,MUA-50MV,5.34,1,5.00,1.27,一對一分離式
4759,萬士益冷氣股份有限公司,MAS-9032MV,5.12,1,9.00,2.45,一對一分離式
4760,萬士益冷氣股份有限公司,MHL-85MVH,5.12,1,8.50,2.52,一對一分離式
4761,萬士益冷氣股份有限公司,KA2-4141V,5.12,1,8.20,2.30,多管型固定組合分離式
4762,萬士益冷氣股份有限公司,MRV-065HMD,5.33,1,6.50,1.79,多管型系列組合分離式
4763,萬士益冷氣股份有限公司,MUA-90V,5.12,1,9.00,2.44,一對一分離式
4764,萬士益冷氣股份有限公司,MFS-28MVH,5.94,1,2.80,0.64,一對一分離式
4765,萬士益冷氣股份有限公司,MFS-41MVH,5.34,1,4.20,0.98,一對一分離式
4766,萬士益冷氣股份有限公司,MKA-36MVH,5.94,1,3.60,0.87,一對一分離式
4767,萬士益冷氣股份有限公司,MAS-140VH,5.04,1,14.00,4.40,一對一分離式
4768,萬士益冷氣股份有限公司,MUA-140V,5.04,1,14.00,4.40,一對一分離式
4769,萬士益冷氣股份有限公司,FS2-2841V,5.34,1,6.90,1.90,多管型固定組合分離式
4770,萬士益冷氣股份有限公司,MFS-90MVH,5.12,1,9.00,2.61,一對一分離式
4771,萬士益冷氣股份有限公司,MRV-400HMD4,5.03,1,40.00,11.00,幹管型系列組合分離式
4772,萬士益冷氣股份有限公司,MHL-72HV32,5.20,1,7.50,2.20,一對一分離式
4773,萬士益冷氣股份有限公司,MKA-72V,5.12,1,7.20,2.00,一對一分離式
4774,萬士益冷氣股份有限公司,MAS-36MVH,5.94,1,3.60,0.87,一對一分離式
4775,萬士益冷氣股份有限公司,KA2-2872V,5.04,1,10.10,2.75,多管型固定組合分離式
4776,萬士益冷氣股份有限公司,MUA-85VH,5.12,1,8.50,2.34,一對一分離式
4777,萬士益冷氣股份有限公司,MRV-052HMD,5.33,1,5.20,1.48,多管型系列組合分離式
4778,萬士益冷氣股份有限公司,FS2-2828V,5.34,1,5.60,1.45,多管型固定組合分離式
4779,萬士益冷氣股份有限公司,MA2-2850VH,5.12,1,7.80,2.05,多管型固定組合分離式
4780,萬士益冷氣股份有限公司,UA2-2872V,5.04,1,10.10,2.75,多管型固定組合分離式
4781,萬士益冷氣股份有限公司,UA2-5050VH,5.04,1,10.10,2.75,多管型固定組合分離式
4782,萬士益冷氣股份有限公司,MKA-2332MV,5.94,1,2.30,0.50,一對一分離式
4783,萬士益冷氣股份有限公司,MFS-90HV32,5.12,1,9.00,2.61,一對一分離式
4784,萬士益冷氣股份有限公司,MKA-90HV32,5.12,1,9.00,2.61,一對一分離式
4785,萬士益冷氣股份有限公司,MUA-85HV32,5.12,1,8.50,2.52,一對一分離式
4786,萬士益冷氣股份有限公司,MAS-85MVH,5.12,1,8.50,2.52,一對一分離式
4787,萬士益冷氣股份有限公司,MUA-72MVH,5.12,1,7.30,2.05,一對一分離式
4788,萬士益冷氣股份有限公司,MHL-50VH,5.34,1,5.00,1.30,一對一分離式
4789,萬士益冷氣股份有限公司,MFS-72VH,5.12,1,7.20,2.00,一對一分離式
4790,萬士益冷氣股份有限公司,UA2-2850V,5.12,1,7.80,2.05,多管型固定組合分離式
4791,萬士益冷氣股份有限公司,MKA-85V,5.12,1,8.50,2.34,一對一分離式
4792,萬士益冷氣股份有限公司,MUA-50HV32,5.70,1,5.30,1.28,一對一分離式
4793,萬士益冷氣股份有限公司,MAS-72HV32,5.20,1,7.50,2.20,一對一分離式
4794,萬士益冷氣股份有限公司,MUA-36MVH,5.94,1,3.60,0.87,一對一分離式
4795,萬士益冷氣股份有限公司,MAS-28HV32,5.94,1,2.80,0.65,一對一分離式
4796,萬士益冷氣股份有限公司,MKA-80HV32,5.12,1,8.00,2.08,一對一分離式
4797,萬士益冷氣股份有限公司,MRV-120SD,5.04,1,12.00,3.10,幹管型系列組合分離式
4798,萬士益冷氣股份有限公司,MKA-2832MV,5.94,1,2.80,0.64,一對一分離式
4799,萬士益冷氣股份有限公司,MAS-4132MV,5.34,1,4.20,1.15,一對一分離式
4800,萬士益冷氣股份有限公司,MFS-72HV32,5.20,1,7.50,2.20,一對一分離式
4801,萬士益冷氣股份有限公司,MKA-28MVH,5.94,1,2.80,0.64,一對一分離式
4802,萬士益冷氣股份有限公司,MKA-90V,5.12,1,9.00,2.44,一對一分離式
4803,萬士益冷氣股份有限公司,KA2-2828V,5.34,1,5.60,1.45,多管型固定組合分離式
4804,萬士益冷氣股份有限公司,KA2-2841V,5.34,1,6.90,1.90,多管型固定組合分離式
4805,萬士益冷氣股份有限公司,MFS-2832MV,5.94,1,2.80,0.64,一對一分離式
4806,萬士益冷氣股份有限公司,MKA-90MVH,5.12,1,9.00,2.61,一對一分離式
4807,萬士益冷氣股份有限公司,MUA-50MVH,5.34,1,5.20,1.28,一對一分離式
4808,萬士益冷氣股份有限公司,MFS-50MVH,5.34,1,5.20,1.28,一對一分離式
4809,萬士益冷氣股份有限公司,KA2-2850VH,5.12,1,7.80,2.05,多管型固定組合分離式
4810,萬士益冷氣股份有限公司,MA2-2872VH,5.04,1,10.10,2.75,多管型固定組合分離式
4811,萬士益冷氣股份有限公司,HL2-7272VH,5.04,1,14.40,3.90,多管型固定組合分離式
4812,萬士益冷氣股份有限公司,HL2-7272V,5.04,1,14.40,3.90,多管型固定組合分離式
4813,萬士益冷氣股份有限公司,MFS-90V,5.12,1,9.00,2.44,一對一分離式
4814,萬士益冷氣股份有限公司,MUA-23MV,5.94,1,2.30,0.50,一對一分離式
4815,萬士益冷氣股份有限公司,MAS-36MV,5.94,1,3.60,0.82,一對一分離式
4816,萬士益冷氣股份有限公司,MHL-41MV,5.34,1,4.10,1.02,一對一分離式
4817,萬士益冷氣股份有限公司,MHL-28HV32,5.94,1,2.80,0.65,一對一分離式
4818,萬士益冷氣股份有限公司,MUA-80HV32,5.12,1,8.00,2.08,一對一分離式
4819,萬士益冷氣股份有限公司,MRV-252HMD4,5.05,1,25.20,6.90,幹管型系列組合分離式
4820,萬士益冷氣股份有限公司,MKA-36VH,5.94,1,3.60,0.85,一對一分離式
4821,萬士益冷氣股份有限公司,MAS-41VH,5.34,1,4.10,1.03,一對一分離式
4822,萬士益冷氣股份有限公司,MFS-41VH,5.34,1,4.10,1.03,一對一分離式
4823,萬士益冷氣股份有限公司,MFS-41V,5.34,1,4.10,1.03,一對一分離式
4824,萬士益冷氣股份有限公司,MUA-50V,5.34,1,5.00,1.30,一對一分離式
4825,萬士益冷氣股份有限公司,MUA-9032MV,5.12,1,9.00,2.45,一對一分離式
4826,萬士益冷氣股份有限公司,MHL-2832MV,5.94,1,2.80,0.64,一對一分離式
4827,萬士益冷氣股份有限公司,MUA-3632MV,5.94,1,3.60,0.79,一對一分離式
4828,萬士益冷氣股份有限公司,MKA-3632MV,5.94,1,3.60,0.79,一對一分離式
4829,萬士益冷氣股份有限公司,MFS-23MV,5.94,1,2.30,0.50,一對一分離式
4830,萬士益冷氣股份有限公司,UA2-2836VH,5.34,1,6.40,1.86,多管型固定組合分離式
4831,萬士益冷氣股份有限公司,MA2-2850V,5.12,1,7.80,2.05,多管型固定組合分離式
4832,萬士益冷氣股份有限公司,KA2-7272V,5.04,1,14.40,3.90,多管型固定組合分離式
4833,萬士益冷氣股份有限公司,MKA-85VH,5.12,1,8.50,2.34,一對一分離式
4834,萬士益冷氣股份有限公司,MKA-28MV,5.94,1,2.80,0.65,一對一分離式
4835,萬士益冷氣股份有限公司,MAS-36HV32,5.94,1,3.60,0.87,一對一分離式
4836,萬士益冷氣股份有限公司,MUA-41VH,5.34,1,4.10,1.03,一對一分離式
4837,萬士益冷氣股份有限公司,MHL-140V,5.04,1,14.00,4.40,一對一分離式
4838,萬士益冷氣股份有限公司,MRV-280HMD4,5.05,1,28.00,8.00,幹管型系列組合分離式
4839,萬士益冷氣股份有限公司,MRV-160HMD,5.04,1,15.50,4.80,幹管型系列組合分離式
4840,萬士益冷氣股份有限公司,MA2-2836V,5.34,1,6.40,1.86,多管型固定組合分離式
4841,萬士益冷氣股份有限公司,MA2-2828V,5.34,1,5.60,1.45,多管型固定組合分離式
4842,萬士益冷氣股份有限公司,HL2-2850VH,5.12,1,7.80,2.05,多管型固定組合分離式
4843,萬士益冷氣股份有限公司,MFS-85V,5.12,1,8.50,2.34,一對一分離式
4844,萬士益冷氣股份有限公司,MUA-112VH,5.04,1,11.20,3.25,一對一分離式
4845,萬士益冷氣股份有限公司,MAS-90MV,5.12,1,9.00,2.25,一對一分離式
4846,萬士益冷氣股份有限公司,MFS-2332MV,5.94,1,2.30,0.50,一對一分離式
4847,萬士益冷氣股份有限公司,MUA-28VH,5.94,1,2.80,0.65,一對一分離式
4848,萬士益冷氣股份有限公司,MKA-41VH,5.34,1,4.10,1.03,一對一分離式
4849,萬士益冷氣股份有限公司,MAS-50V,5.34,1,5.00,1.30,一對一分離式
4850,萬士益冷氣股份有限公司,MHL-72VH,5.12,1,7.20,2.00,一對一分離式
4851,萬士益冷氣股份有限公司,MUA-28HV32,5.94,1,2.80,0.65,一對一分離式
4852,萬士益冷氣股份有限公司,MFS-80HV32,5.12,1,8.00,2.08,一對一分離式
4853,萬士益冷氣股份有限公司,FS2-2872V,5.04,1,10.10,2.75,多管型固定組合分離式
4854,萬士益冷氣股份有限公司,HL2-2836V,5.34,1,6.40,1.86,多管型固定組合分離式
4855,萬士益冷氣股份有限公司,FS2-2828VH,5.34,1,5.60,1.45,多管型固定組合分離式
4856,萬士益冷氣股份有限公司,HL2-4141V,5.12,1,8.20,2.30,多管型固定組合分離式
4857,萬士益冷氣股份有限公司,MHL-28MV,5.94,1,2.80,0.65,一對一分離式
4858,萬士益冷氣股份有限公司,MUA-41MV,5.34,1,4.10,1.02,一對一分離式
4859,萬士益冷氣股份有限公司,MKA-4132MV,5.34,1,4.20,1.15,一對一分離式
4860,萬士益冷氣股份有限公司,MHL-41HV32,5.34,1,4.20,1.00,一對一分離式
4861,萬士益冷氣股份有限公司,MFS-23HV32,5.94,1,2.30,0.54,一對一分離式
4862,萬士益冷氣股份有限公司,MHL-50V,5.34,1,5.00,1.30,一對一分離式
4863,萬士益冷氣股份有限公司,MKA-36V,5.94,1,3.60,0.85,一對一分離式
4864,萬士益冷氣股份有限公司,MAS-50VH,5.34,1,5.00,1.30,一對一分離式
4865,萬士益冷氣股份有限公司,MAS-50MVH,5.34,1,5.20,1.28,一對一分離式
4866,萬士益冷氣股份有限公司,MFS-72MVH,5.12,1,7.30,2.05,一對一分離式
4867,萬士益冷氣股份有限公司,MKA-90VH,5.12,1,9.00,2.44,一對一分離式
4868,萬士益冷氣股份有限公司,MUA-36MV,5.94,1,3.60,0.82,一對一分離式
