項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
105,上菱工業股份有限公司,SCM80ZMT-S1,5.26,1,8.00,2.25,多管型系列組合分離式
106,上菱工業股份有限公司,SCM100ZMT-S,5.21,1,10.00,2.86,多管型系列組合分離式
107,上菱工業股份有限公司,FDC224KXZPE1T2,5.68,1,22.40,5.68,幹管型系列組合分離式
108,上菱工業股份有限公司,FDC500KXZE1T2,5.04,1,50.00,15.00,幹管型系列組合分離式
109,上菱工業股份有限公司,SCM80ZMT-S,5.26,1,8.00,2.25,多管型系列組合分離式
110,上菱工業股份有限公司,FDC112KXZEN1T2,5.23,1,11.20,2.88,幹管型系列組合分離式
111,上菱工業股份有限公司,FDC140KXZEN1T2,5.04,1,14.00,4.33,幹管型系列組合分離式
112,上菱科技有限公司,SO-80GW,5.14,1,8.00,2.28,一對一分離式
113,上菱科技有限公司,SO-50GW,5.34,1,5.00,1.22,一對一分離式
114,上菱科技有限公司,SO-42GW,5.34,1,4.20,1.07,一對一分離式
115,上菱科技有限公司,SO-63GW,5.35,1,6.50,1.75,一對一分離式
116,上菱科技有限公司,SO-71GW,5.15,1,7.20,2.05,一對一分離式
117,上菱科技有限公司,SO-125RV,5.03,1,14.00,4.20,一對一分離式
118,大同股份有限公司,R-362DDHN,5.93,1,3.60,0.86,一對一分離式
119,大同股份有限公司,R-422DYHN_S,5.45,1,4.20,0.98,一對一分離式
120,大同股份有限公司,R-73DYSR,5.34,1,7.20,1.90,一對一分離式
121,大同股份有限公司,R-73DDSR,5.34,1,7.20,1.90,一對一分離式
122,大同股份有限公司,R-50DYSR,6.00,1,5.20,1.25,一對一分離式
123,大同股份有限公司,TW-41DDSN,4.16,1,4.10,1.27,單體式
124,大同股份有限公司,R-732DDHN,5.12,1,7.30,1.92,一對一分離式
125,大同股份有限公司,R-232DDHN_S,5.93,1,2.20,0.51,一對一分離式
